brand,name,old_price_reais,new_price_reais,reviews_rating_number,reviews_amount
PUMA,Puma Cell Divide V2 BDP Masculino Adultos,499,348,,
OLYMPIKUS,Olympikus Asfalto Masculino Adultos,231,22,,
UNDER ARMOUR,Under Armour Charged Slight 2 Masculino Adultos,359,260,,
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,290,28,,
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,106,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,160,,
OLYMPIKUS,Olympikus Voa 2 Masculino Adultos,299,208,,
OLYMPIKUS,Tênis Running Masculino Olympikus Perfect 3 Preto,345,34,,
NIKE,Tênis Nike Flex Experience 12 Masculino,299,29,,
FILA,Tenis Para Corrida Confortavel Mais Equilibrio Fila Original,349,297,,
,Tênis Masculino Tamanho Especial Revior Original,139,109,,
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,193,,
OLYMPIKUS,Tênis Running Masculino Olympikus Triunfo 3 Preto,283,31,,
OLYMPIKUS,Tênis Running Masculino Olympikus Urbex/104 Preto,246,30,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Volcan,234,33,,
NIKE,Tênis Nike Air Max Sc Masculino,389,39,,
OLYMPIKUS,Tênis Running Masculino Zex Olympikus Branco E Preto,283,31,,
OLYMPIKUS,Tênis Running Masculino Volcan Original Olympikus,246,30,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,71,,
PUMA,Tênis Puma Flyer Runner Mesh Bdp Masculino Original ,329,283,,
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,139,,
NEW BALANCE,Tenis New Balance 520v8 Corrida Esportivo Masculino Original,399,40,,
OLYMPIKUS,Tênis Running Masculino Vertical Olympikus Preto,432,43,,
OLYMPIKUS,Tênis Running Masculino Taurus Olympikus Preto,345,34,,
OLYMPIKUS,Tênis Running Masculino Soma Olympikus Marinho,246,30,,
NEW BALANCE,Tênis Masculino New Balance Arish Basico Fitness Treino +nfe,499,48,,
OLYMPIKUS,Tênis Olympikus Cyber Original,259,185,,
UNDER ARMOUR,Tênis Sport Under Armour Charged Skyline 4 Original Treino,412,329,,
OLYMPIKUS,Tênis Masculino Corre Trilha Olympikus Novo,599,478,,
MIZUNO,Tênis Mizuno Hawk 5 Masculino,389,319,,
FILA,Tênis Fila Fire Masculino / Feminino - Original ,349,248,,
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,74,,
OLYMPIKUS,Olympikus Perfect 3 Masculino Adultos,259,194,,
UNDER ARMOUR,Tênis Masculino E Feminino Tribase Reps Under Armour Novo,449,358,,
FILA,Tênis Fila Efecto Masculino / Feminino - Original,299,224,,
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,7,,
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,142,,
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,158,,
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,228,,
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,152,,
UNDER ARMOUR,Under Armour Tribase Cross Masculino Adultos,499,349,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,158,,
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,68,22,,
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,145,,
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,69,46,,
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,188,,
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,259,,
,Tênis Número Especial Esportivo Corrida E Academia 44-48,78,26,,
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,51,44,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,71,,
OLYMPIKUS,Olympikus Express Masculino Adultos,274,217,,
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,17,,
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,299,33,,
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,269,33,,
